来源,代码,名称,现价,涨幅,成交 (万元),场内份额 (万份),场内新增 (万份),T-2净值,净值日期,T-1估值,估值日期,T-1溢价率,实时估值,实时溢价率,相关标的,T-1指数涨幅,申购费,申购状态,赎回费,赎回状态,管托费,基金公司,操作,相关标的/业绩比较
欧美市场,159529,标普消费ETF,1.603,2.95%,107332.79,40354,0,1.2424,25-05-12,1.2459,25-05-13,28.66%,-,-,标普500消费精选指数,0.38%,-,开放申购,-,开放赎回,0.70%,景顺长城,,
欧美市场,159612,标普500ETF,1.884,0.86%,93214.95,34690,0,1.5621,25-05-12,1.5718,25-05-13,19.86%,会员,会员,标普500,0.72%,0.50%,暂停申购,0.5%,开放赎回,0.75%,国泰基金,,
欧美市场,513030,德国ETF,1.861,0.81%,32537.88,72978,0,1.7838,25-05-12,1.7661,25-05-13,5.37%,会员,会员,德国DAX,0.31%,-,暂停申购,-,开放赎回,1.00%,华安基金,,
欧美市场,159509,纳指科技ETF,1.532,3.37%,116034.2,633656,100,1.446,25-05-12,1.4794,25-05-13,3.56%,-,-,纳斯达克科技市值加权,2.41%,-,开放申购,-,开放赎回,1.00%,景顺长城,,
欧美市场,513730,东南亚科技ETF,1.232,1.48%,7584.96,143336,-3800,1.1932,25-05-12,-,25-05-12,-,-,-,新交所泛东南亚科技指数,-,-,开放申购,-,开放赎回,0.50%,华泰柏瑞,,
欧美市场,159941,纳指ETF,1.177,2.44%,118127.96,2180911,130,1.1335,25-05-12,1.1503,25-05-13,2.32%,会员,会员,纳斯达克100,1.58%,-,开放申购,-,开放赎回,1.00%,广发基金,,
欧美市场,513100,纳指ETF,1.56,2.50%,84763.75,949911,0,1.507,25-05-12,1.5293,25-05-13,2.01%,会员,会员,纳斯达克100,1.58%,0.50%,暂停申购,0.50%,开放赎回,0.80%,国泰基金,,
欧美市场,513050,中概互联网ETF,1.438,1.91%,227919.13,2456743,-30100,1.4532,25-05-12,1.4125,25-05-13,1.81%,-,-,中国互联网50,-2.70%,0.50%,开放申购,0.50%,开放赎回,0.80%,易方达,,
欧美市场,162415,美国消费LOF,2.874,1.70%,12609.91,14512,-9,2.795,25-05-12,2.8271,25-05-13,1.66%,-,-,标普可选消费品精选版块指数,1.31%,1.20%,限100,1.50%,开放赎回,1.20%,华宝基金,,
欧美市场,159561,德国ETF,1.306,0.46%,11751.14,112650,2000,1.3015,25-05-12,1.2886,25-05-13,1.35%,会员,会员,德国DAX,0.31%,-,开放申购,-,开放赎回,0.60%,嘉实基金,,
欧美市场,513300,纳斯达克ETF,1.934,2.49%,76540.05,459817,3750,1.8814,25-05-12,1.9092,25-05-13,1.30%,会员,会员,纳斯达克100,1.58%,0.50%,开放申购,0.50%,开放赎回,0.80%,华夏基金,,
欧美市场,513220,中概互联ETF,1.271,1.52%,6168.8,21811,100,1.2861,25-05-12,1.2561,25-05-13,1.19%,-,-,中证全球中国互联网指数,-2.33%,-,开放申购,-,开放赎回,0.65%,招商基金,,
欧美市场,159605,中概互联ETF,1.088,1.78%,50213.3,457449,0,1.1025,25-05-12,1.0763,25-05-13,1.09%,-,-,中证海外中国互联网30指数,-2.28%,-,开放申购,-,开放赎回,0.60%,广发基金,,
欧美市场,159607,中概互联网ETF,1.083,1.79%,19770.6,120483,-3000,1.0975,25-05-12,1.0714,25-05-13,1.08%,-,-,中证海外中国互联网30指数,-2.28%,0.00%,开放申购,0.00%,开放赎回,0.60%,嘉实基金,,
欧美市场,159632,纳斯达克ETF,1.753,2.45%,16421.8,537772,0,1.7095,25-05-12,1.7348,25-05-13,1.05%,会员,会员,纳斯达克100,1.58%,-,暂停申购,-,开放赎回,0.80%,华安基金,,
欧美市场,520580,新兴亚洲ETF,1.016,0.00%,3596.96,49198,0,1.0056,25-05-12,-,25-05-12,-,-,-,新交所新兴亚洲精选50指数,-,-,开放申购,-,开放赎回,0.50%,招商基金,,
欧美市场,513290,纳指生物科技ETF,1.06,-0.84%,5900.02,113507,0,1.0721,25-05-12,1.0506,25-05-13,0.89%,-,-,纳斯达克生物科技,-1.91%,-,暂停申购,-,开放赎回,0.65%,汇添富,,
欧美市场,159660,纳指100ETF,1.681,2.25%,6806.58,176415,0,1.6426,25-05-12,1.6669,25-05-13,0.85%,会员,会员,纳斯达克100,1.58%,-,暂停申购,-,开放赎回,0.65%,汇添富,,
欧美市场,513080,法国CAC40ETF,1.668,1.34%,11699.7,53592,0,1.671,25-05-12,1.6543,25-05-13,0.83%,-,-,法国CAC40,0.30%,-,暂停申购,-,开放赎回,0.65%,华安基金,,
欧美市场,159513,纳斯达克100指数ETF,1.293,2.38%,6336.56,469555,100,1.2649,25-05-12,1.2836,25-05-13,0.73%,会员,会员,纳斯达克100,1.58%,-,开放申购,-,开放赎回,1.00%,大成基金,,
